Player,Year,Surface,Matches,Wins,Win_pct
Bemelmans R.,2017,Grass,3,2,66.66666666666666
Bemelmans R.,2017,Hard,7,3,42.857142857142854
Bemelmans R.,2018,Clay,2,1,50.0
Bemelmans R.,2018,Grass,3,1,33.33333333333333
Bemelmans R.,2018,Hard,13,2,15.384615384615385
Bemelmans R.,2019,Grass,1,0,0.0
Bemelmans R.,2019,Hard,1,0,0.0
Benchetrit E.,2018,Clay,1,0,0.0
Benchetrit E.,2019,Clay,2,1,50.0
Benchetrit E.,2019,Hard,1,0,0.0
Benchetrit E.,2020,Clay,1,0,0.0
Benchetrit E.,2020,Hard,1,0,0.0
Benchetrit E.,2022,Clay,1,0,0.0
Benchetrit E.,2023,Clay,1,0,0.0
Benchetrit E.,2024,Clay,1,0,0.0
Benchetrit E.,2025,Clay,1,0,0.0
Benneteau A.,2004,Hard,1,0,0.0
Benneteau J.,2001,Carpet,2,1,50.0
Benneteau J.,2002,Carpet,1,0,0.0
Benneteau J.,2002,Clay,1,0,0.0
